code,kline_time,open,high,low,close,volume,amount
000688.SH,2024-08-28,672.9666,675.1094,669.1309,671.2199,10915142,25778609275
000688.SH,2024-08-29,667.8818,683.3255,666.4097,679.5949,13954803,32799382768
000688.SH,2024-08-30,678.6132,700.0265,677.5431,694.1638,19156711,48194270275
000688.SH,2024-09-02,693.6747,694.4229,670.0108,670.0108,17205560,41063766515
000688.SH,2024-09-03,670.0647,681.4786,670.0647,674.9553,13042151,32553917365
000688.SH,2024-09-04,668.9308,679.1725,666.8985,672.2839,11882664,28422961719
000688.SH,2024-09-05,672.9951,680.7917,668.4641,671.2645,11248050,29712222920
000688.SH,2024-09-06,672.6207,673.9703,662.3369,662.3369,12014699,28831013838
000688.SH,2024-09-09,659.5018,665.6652,652.9339,654.9387,10622661,25991363701
000688.SH,2024-09-10,656.0364,663.8265,648.6222,660.0144,11153705,27006559441
000688.SH,2024-09-11,657.3864,665.7696,656.819,664.332,10920574,28070307734
000688.SH,2024-09-12,666.2176,671.8655,658.6734,658.8536,11175622,27667529627
000688.SH,2024-09-13,658.9832,662.8871,650.6977,655.0456,12477661,32343733897
000688.SH,2024-09-18,654.5113,654.5113,641.9074,647.4088,11780642,27742335029
000688.SH,2024-09-19,649.7257,658.362,642.7948,651.466,13218370,30881083660
000688.SH,2024-09-20,651.8206,654.1591,642.5978,648.3597,11546560,27211145298
000688.SH,2024-09-23,649.0028,654.2437,643.042,643.042,11194771,27395548847
000688.SH,2024-09-24,648.1299,667.2694,640.3519,667.0485,19770627,47471811366
000688.SH,2024-09-25,673.1807,684.432,667.0743,667.3379,21546357,52332379401
000688.SH,2024-09-26,667.5479,693.4644,663.1647,693.1492,21200670,53809801054
000688.SH,2024-09-27,704.5219,742.9569,704.2871,740.0157,19926573,50178955336
000688.SH,2024-09-30,782.3068,872.3652,776.4476,872.3652,59912936,162619912631
000688.SH,2024-10-08,1045.0471,1045.0471,972.3417,1023.9671,81102521,253004231361
000688.SH,2024-10-09,993.7812,1084.6821,958.4622,997.8521,74028185,277167646122
000688.SH,2024-10-10,1014.3568,1016.5726,940.0934,954.1719,48801027,170515757299
000688.SH,2024-10-11,939.5709,946.5228,889.1119,898.8987,38192169,120852430132
000688.SH,2024-10-14,904.1439,931.8146,873.5175,925.9552,36151683,118134952287
000688.SH,2024-10-15,920.9864,942.2544,898.8269,898.8269,33495189,111598830662
000688.SH,2024-10-16,874.2746,896.3101,872.1602,875.689,25707766,79628161711
000688.SH,2024-10-17,897.1997,901.1216,878.7444,879.0962,28830410,92939835922
000688.SH,2024-10-18,879.9517,1008.0669,876.6834,978.661,49514598,173380119162
000688.SH,2024-10-21,999.5352,1063.8488,977.8752,1000.3748,58186607,218349269053
000688.SH,2024-10-22,988.7013,1002.9578,969.8551,985.8337,46255097,157574282233
000688.SH,2024-10-23,976.248,1003.957,971.694,979.151,43236685,141111569674
000688.SH,2024-10-24,968.992,988.039,968.488,977.6,31944262,108835412146
000688.SH,2024-10-25,981.4055,1016.0814,974.4841,991.2156,40210711,131637406170
000688.SH,2024-10-28,988.4337,991.1273,976.5153,986.5596,36836545,115390611100
000688.SH,2024-10-29,988.4994,1006.8575,975.0276,975.3716,41061591,136569008178
000688.SH,2024-10-30,967.8407,976.4016,949.3326,958.8217,35542724,119155248926
000688.SH,2024-10-31,960.6823,978.1775,947.5833,969.4476,41639866,140093294442
000688.SH,2024-11-01,960.2104,967.8377,939.7644,939.7644,39771151,123726271754
000688.SH,2024-11-04,938.1907,955.9005,937.9693,954.6673,29295116,95391921309
000688.SH,2024-11-05,954.1406,997.8942,950.3924,996.1688,44245568,150901911666
000688.SH,2024-11-06,1002.0629,1017.1237,986.4328,998.0947,47729913,162903152060
000688.SH,2024-11-07,986.5019,1038.0266,984.5579,1028.4392,43727199,144682129998
000688.SH,2024-11-08,1053.4518,1070.9527,1025.4264,1025.6365,56444883,194343124227
000688.SH,2024-11-11,1033.547,1074.5151,1028.0986,1073.8353,64938764,221900127933
000688.SH,2024-11-12,1070.6441,1080.5699,1040.9131,1050.5373,59573924,204250787058
000688.SH,2024-11-13,1042.1952,1062.6462,1039.5828,1061.366,44872097,156786810516
000688.SH,2024-11-14,1056.2096,1065.1964,1024.5504,1027.316,39579052,141030816999
000688.SH,2024-11-15,1024.599,1030.2696,986.8598,986.8755,38743327,132762402728
000688.SH,2024-11-18,989.403,1001.9864,962.833,968.7133,35938901,116308119733
000688.SH,2024-11-19,973.9966,999.9637,960.0116,998.0149,32059518,105527919765
000688.SH,2024-11-20,992.6728,1008.556,988.263,1002.5392,35204756,114391877484
000688.SH,2024-11-21,1002.9749,1019.9987,999.5607,1011.463,33040487,116565018558
000688.SH,2024-11-22,1011.6443,1018.5067,968.9612,969.3527,36093663,122679726874
000688.SH,2024-11-25,970.8167,974.291,941.2148,957.9209,28722240,98272857588
000688.SH,2024-11-26,955.579,967.9156,950.509,951.5932,24624105,77954852060
000688.SH,2024-11-27,947.9453,987.9824,940.8742,985.9746,29623561,100891674238
000688.SH,2024-11-28,985.7874,1003.4227,981.3696,983.6834,28504955,99280471161
000688.SH,2024-11-29,980.4273,1024.5346,978.3922,1007.3914,33890707,119104319159
000688.SH,2024-12-02,1008.7094,1022.594,1002.0579,1015.7865,36643713,119816515955
000688.SH,2024-12-03,1017.0668,1021.7034,997.1124,1005.2649,33287414,104632431114
000688.SH,2024-12-04,1020.0818,1023.0614,995.2017,999.3577,34291372,110881745260
000688.SH,2024-12-05,993.168,1006.5747,992.8936,1001.8442,30789936,100216648744
000688.SH,2024-12-06,1004.7699,1024.8436,994.6306,1014.4463,37273325,117330572861
000688.SH,2024-12-09,1012.8753,1016.9431,995.4104,1003.3821,32129434,103544056298
000688.SH,2024-12-10,1051.5275,1051.901,1008.4967,1010.9107,41846050,144074101289
000688.SH,2024-12-11,1007.5473,1016.8283,1004.355,1007.1881,37497161,124868253914
000688.SH,2024-12-12,1008.1361,1014.5567,999.0606,1010.8952,34806827,120419160417
000688.SH,2024-12-13,1003.9936,1009.3528,988.7314,989.7763,43854121,150194968954
000688.SH,2024-12-16,990.5744,992.3581,971.0991,975.2684,31026433,110322609986
000688.SH,2024-12-17,974.0447,980.5675,965.494,967.2764,27355681,88947874109
000688.SH,2024-12-18,970.4632,984.7599,965.5578,981.5127,26614720,96066843023
000688.SH,2024-12-19,969.3809,997.7987,967.8594,993.0019,28375989,106029615426
000688.SH,2024-12-20,990.058,1024.7158,989.4144,1011.2093,36584700,146011868870
000688.SH,2024-12-23,1011.193,1025.8107,996.8888,998.6073,35158440,133345085448
000688.SH,2024-12-24,1002.5044,1015.8679,991.3038,1014.017,27831235,104067054723
000688.SH,2024-12-25,1018.5698,1024.9454,1009.7148,1017.3567,27249738,105231036494
000688.SH,2024-12-26,1014.0694,1030.6735,1010.9363,1027.0229,27815373,115065076927
000688.SH,2024-12-27,1026.7068,1044.1527,1016.9785,1018.5794,29907884,122491044126
000688.SH,2024-12-30,1014.7807,1031.456,1011.1046,1020.6331,25487299,100134360873
000688.SH,2024-12-31,1020.5215,1021.4143,988.9346,988.9346,27751039,98733521146
000688.SH,2025-01-02,986.822,986.822,945.4523,955.3334,28157561,100406121295
000688.SH,2025-01-03,955.722,963.2264,941.2455,941.8191,26313549,85624448232
000688.SH,2025-01-06,943.7557,949.5905,931.002,938.7068,22772699,75930452054
000688.SH,2025-01-07,938.5985,966.0688,936.6456,965.5297,22947764,84471208341
000688.SH,2025-01-08,956.7109,976.6235,937.8204,965.1193,27063783,98099619963
000688.SH,2025-01-09,962.2346,972.4658,960.5368,961.4394,23092604,84170640043
000688.SH,2025-01-10,962.2215,980.7548,950.5916,950.5916,25467432,97362660344
000688.SH,2025-01-13,938.3821,955.0801,936.7818,952.1856,21884740,81206622613
000688.SH,2025-01-14,958.4942,984.0285,946.6343,981.7793,29347707,110211151474
000688.SH,2025-01-15,976.1301,988.8606,970.8237,977.6609,24770957,93899618149
000688.SH,2025-01-16,982.0856,991.8965,954.1498,956.3965,26051970,107384598283
000688.SH,2025-01-17,949.8425,977.8068,947.8372,965.9031,25653257,102101001343
000688.SH,2025-01-20,969.8405,978.2161,962.4009,968.2711,24552899,92288369909
000688.SH,2025-01-21,973.9086,980.1458,964.862,976.2959,25990813,105756132230
000688.SH,2025-01-22,972.212,980.4113,967.6697,975.34,23809673,93984657863
000688.SH,2025-01-23,987.2647,994.7674,966.1063,966.1063,28155580,108833578855
000688.SH,2025-01-24,966.0923,980.4274,966.0923,974.8342,26768503,99731914065
000688.SH,2025-01-27,972.188,975.961,954.904,955.09,24754873,94211964048
000688.SH,2025-02-05,989.1185,989.5348,974.9857,982.8287,31658763,130436591616
000688.SH,2025-02-06,977.0184,1012.8763,975.3692,1011.2199,37025135,146610699925
000688.SH,2025-02-07,1011.0556,1035.1696,1003.2389,1018.7988,43382897,168504025808
000688.SH,2025-02-10,1023.0204,1038.0225,1018.3727,1036.7653,40897494,155886575545
000688.SH,2025-02-11,1034.9546,1038.5967,1018.3915,1024.4122,37958064,138741058825
000688.SH,2025-02-12,1026.8715,1042.1335,1021.5653,1041.1366,37531796,143393487605
000688.SH,2025-02-13,1040.4247,1041.982,1016.2266,1017.0875,37169319,144838365546
